month,fy,amount,amt_type,date
October,2016,211046.0,Receipt,"October, 2016"
November,2016,204968.0,Receipt,"November, 2016"
December,2016,349631.0,Receipt,"December, 2016"
January,2016,313579.0,Receipt,"January, 2016"
February,2016,169147.0,Receipt,"February, 2016"
March,2016,227848.0,Receipt,"March, 2016"
April,2016,438432.0,Receipt,"April, 2016"
May,2016,224604.0,Receipt,"May, 2016"
June,2016,329572.0,Receipt,"June, 2016"
July,2016,209998.0,Receipt,"July, 2016"
August,2016,231327.0,Receipt,"August, 2016"
September,2016,356623.0,Receipt,"September, 2016"
October,2017,221692.0,Receipt,"October, 2017"
November,2017,199875.0,Receipt,"November, 2017"
December,2017,319204.0,Receipt,"December, 2017"
January,2017,344069.0,Receipt,"January, 2017"
February,2017,171713.0,Receipt,"February, 2017"
March,2017,216584.0,Receipt,"March, 2017"
April,2017,455605.0,Receipt,"April, 2017"
May,2017,240418.0,Receipt,"May, 2017"
October,2016,-347604.0,Outlay,"October, 2016"
November,2016,-267837.0,Outlay,"November, 2016"
December,2016,-364075.0,Outlay,"December, 2016"
January,2016,-258416.0,Outlay,"January, 2016"
February,2016,-361757.0,Outlay,"February, 2016"
March,2016,-335891.0,Outlay,"March, 2016"
April,2016,-331977.0,Outlay,"April, 2016"
May,2016,-277111.0,Outlay,"May, 2016"
June,2016,-323320.0,Outlay,"June, 2016"
July,2016,-322817.0,Outlay,"July, 2016"
August,2016,-338438.0,Outlay,"August, 2016"
September,2016,-323178.0,Outlay,"September, 2016"
October,2017,-267523.0,Outlay,"October, 2017"
November,2017,-336544.0,Outlay,"November, 2017"
December,2017,-346540.0,Outlay,"December, 2017"
January,2017,-292812.0,Outlay,"January, 2017"
February,2017,-363757.0,Outlay,"February, 2017"
March,2017,-392816.0,Outlay,"March, 2017"
April,2017,-273177.0,Outlay,"April, 2017"
May,2017,-328844.0,Outlay,"May, 2017"
October,2016,136558.0,Deficit,"October, 2016"
November,2016,62869.0,Deficit,"November, 2016"
December,2016,14444.0,Deficit,"December, 2016"
January,2016,-55163.0,Deficit,"January, 2016"
February,2016,192610.0,Deficit,"February, 2016"
March,2016,108043.0,Deficit,"March, 2016"
April,2016,-106455.0,Deficit,"April, 2016"
May,2016,52507.0,Deficit,"May, 2016"
June,2016,-6252.0,Deficit,"June, 2016"
July,2016,112819.0,Deficit,"July, 2016"
August,2016,107112.0,Deficit,"August, 2016"
September,2016,-33445.0,Deficit,"September, 2016"
October,2017,45831.0,Deficit,"October, 2017"
November,2017,136669.0,Deficit,"November, 2017"
December,2017,27336.0,Deficit,"December, 2017"
January,2017,-51257.0,Deficit,"January, 2017"
February,2017,192044.0,Deficit,"February, 2017"
March,2017,176232.0,Deficit,"March, 2017"
April,2017,-182428.0,Deficit,"April, 2017"
May,2017,88426.0,Deficit,"May, 2017"
