amt_type,deficit_M,fy,month,outlay_M,recpt_M,date,deficit_as_neg_M,receipts,outlays,deficit,deficit_as_neg
Receipt,,2016,October,,211046.0,"October, 2016",,211046000000.0,,,
Receipt,,2016,November,,204968.0,"November, 2016",,204968000000.0,,,
Receipt,,2016,December,,349631.0,"December, 2016",,349631000000.0,,,
Receipt,,2016,January,,313579.0,"January, 2016",,313579000000.0,,,
Receipt,,2016,February,,169147.0,"February, 2016",,169147000000.0,,,
Receipt,,2016,March,,227848.0,"March, 2016",,227848000000.0,,,
Receipt,,2016,April,,438432.0,"April, 2016",,438432000000.0,,,
Receipt,,2016,May,,224604.0,"May, 2016",,224604000000.0,,,
Receipt,,2016,June,,329572.0,"June, 2016",,329572000000.0,,,
Receipt,,2016,July,,209998.0,"July, 2016",,209998000000.0,,,
Receipt,,2016,August,,231327.0,"August, 2016",,231327000000.0,,,
Receipt,,2016,September,,356623.0,"September, 2016",,356623000000.0,,,
Receipt,,2017,October,,221692.0,"October, 2017",,221692000000.0,,,
Receipt,,2017,November,,199875.0,"November, 2017",,199875000000.0,,,
Receipt,,2017,December,,319204.0,"December, 2017",,319204000000.0,,,
Receipt,,2017,January,,344069.0,"January, 2017",,344069000000.0,,,
Receipt,,2017,February,,171713.0,"February, 2017",,171713000000.0,,,
Receipt,,2017,March,,216584.0,"March, 2017",,216584000000.0,,,
Receipt,,2017,April,,455605.0,"April, 2017",,455605000000.0,,,
Receipt,,2017,May,,240418.0,"May, 2017",,240418000000.0,,,
Outlay,,2016,October,347604.0,,"October, 2016",,,347604000000.0,,
Outlay,,2016,November,267837.0,,"November, 2016",,,267837000000.0,,
Outlay,,2016,December,364075.0,,"December, 2016",,,364075000000.0,,
Outlay,,2016,January,258416.0,,"January, 2016",,,258416000000.0,,
Outlay,,2016,February,361757.0,,"February, 2016",,,361757000000.0,,
Outlay,,2016,March,335891.0,,"March, 2016",,,335891000000.0,,
Outlay,,2016,April,331977.0,,"April, 2016",,,331977000000.0,,
Outlay,,2016,May,277111.0,,"May, 2016",,,277111000000.0,,
Outlay,,2016,June,323320.0,,"June, 2016",,,323320000000.0,,
Outlay,,2016,July,322817.0,,"July, 2016",,,322817000000.0,,
Outlay,,2016,August,338438.0,,"August, 2016",,,338438000000.0,,
Outlay,,2016,September,323178.0,,"September, 2016",,,323178000000.0,,
Outlay,,2017,October,267523.0,,"October, 2017",,,267523000000.0,,
Outlay,,2017,November,336544.0,,"November, 2017",,,336544000000.0,,
Outlay,,2017,December,346540.0,,"December, 2017",,,346540000000.0,,
Outlay,,2017,January,292812.0,,"January, 2017",,,292812000000.0,,
Outlay,,2017,February,363757.0,,"February, 2017",,,363757000000.0,,
Outlay,,2017,March,392816.0,,"March, 2017",,,392816000000.0,,
Outlay,,2017,April,273177.0,,"April, 2017",,,273177000000.0,,
Outlay,,2017,May,328844.0,,"May, 2017",,,328844000000.0,,
Deficit,136558.0,2016,October,,,"October, 2016",-136558.0,,,136558000000.0,-136558000000.0
Deficit,62869.0,2016,November,,,"November, 2016",-62869.0,,,62869000000.0,-62869000000.0
Deficit,14444.0,2016,December,,,"December, 2016",-14444.0,,,14444000000.0,-14444000000.0
Deficit,-55163.0,2016,January,,,"January, 2016",55163.0,,,-55163000000.0,55163000000.0
Deficit,192610.0,2016,February,,,"February, 2016",-192610.0,,,192610000000.0,-192610000000.0
Deficit,108043.0,2016,March,,,"March, 2016",-108043.0,,,108043000000.0,-108043000000.0
Deficit,-106455.0,2016,April,,,"April, 2016",106455.0,,,-106455000000.0,106455000000.0
Deficit,52507.0,2016,May,,,"May, 2016",-52507.0,,,52507000000.0,-52507000000.0
Deficit,-6252.0,2016,June,,,"June, 2016",6252.0,,,-6252000000.0,6252000000.0
Deficit,112819.0,2016,July,,,"July, 2016",-112819.0,,,112819000000.0,-112819000000.0
Deficit,107112.0,2016,August,,,"August, 2016",-107112.0,,,107112000000.0,-107112000000.0
Deficit,-33445.0,2016,September,,,"September, 2016",33445.0,,,-33445000000.0,33445000000.0
Deficit,45831.0,2017,October,,,"October, 2017",-45831.0,,,45831000000.0,-45831000000.0
Deficit,136669.0,2017,November,,,"November, 2017",-136669.0,,,136669000000.0,-136669000000.0
Deficit,27336.0,2017,December,,,"December, 2017",-27336.0,,,27336000000.0,-27336000000.0
Deficit,-51257.0,2017,January,,,"January, 2017",51257.0,,,-51257000000.0,51257000000.0
Deficit,192044.0,2017,February,,,"February, 2017",-192044.0,,,192044000000.0,-192044000000.0
Deficit,176232.0,2017,March,,,"March, 2017",-176232.0,,,176232000000.0,-176232000000.0
Deficit,-182428.0,2017,April,,,"April, 2017",182428.0,,,-182428000000.0,182428000000.0
Deficit,88426.0,2017,May,,,"May, 2017",-88426.0,,,88426000000.0,-88426000000.0
