amt_type,deficit_M,fy,month,outlay_M,recpt_M,date,deficit_as_neg_M,receipts,outlays,deficit,deficit_as_neg
Receipt,,2016,october,,211046.0,"october, 2016",,211046000000.0,,,
Receipt,,2016,november,,204968.0,"november, 2016",,204968000000.0,,,
Receipt,,2016,december,,349631.0,"december, 2016",,349631000000.0,,,
Receipt,,2016,january,,313579.0,"january, 2016",,313579000000.0,,,
Receipt,,2016,february,,169147.0,"february, 2016",,169147000000.0,,,
Receipt,,2016,march,,227848.0,"march, 2016",,227848000000.0,,,
Receipt,,2016,april,,438432.0,"april, 2016",,438432000000.0,,,
Receipt,,2016,may,,224604.0,"may, 2016",,224604000000.0,,,
Receipt,,2016,june,,329572.0,"june, 2016",,329572000000.0,,,
Receipt,,2016,july,,209998.0,"july, 2016",,209998000000.0,,,
Receipt,,2016,august,,231327.0,"august, 2016",,231327000000.0,,,
Receipt,,2016,september,,356623.0,"september, 2016",,356623000000.0,,,
Receipt,,2017,october,,221692.0,"october, 2017",,221692000000.0,,,
Receipt,,2017,november,,199875.0,"november, 2017",,199875000000.0,,,
Receipt,,2017,december,,319204.0,"december, 2017",,319204000000.0,,,
Receipt,,2017,january,,344069.0,"january, 2017",,344069000000.0,,,
Receipt,,2017,february,,171713.0,"february, 2017",,171713000000.0,,,
Receipt,,2017,march,,216584.0,"march, 2017",,216584000000.0,,,
Receipt,,2017,april,,455605.0,"april, 2017",,455605000000.0,,,
Receipt,,2017,may,,240418.0,"may, 2017",,240418000000.0,,,
Receipt,,2017,june,,338660.0,"june, 2017",,338660000000.0,,,
Outlay,,2016,october,347604.0,,"october, 2016",,,347604000000.0,,
Outlay,,2016,november,267837.0,,"november, 2016",,,267837000000.0,,
Outlay,,2016,december,364075.0,,"december, 2016",,,364075000000.0,,
Outlay,,2016,january,258416.0,,"january, 2016",,,258416000000.0,,
Outlay,,2016,february,361757.0,,"february, 2016",,,361757000000.0,,
Outlay,,2016,march,335891.0,,"march, 2016",,,335891000000.0,,
Outlay,,2016,april,331977.0,,"april, 2016",,,331977000000.0,,
Outlay,,2016,may,277111.0,,"may, 2016",,,277111000000.0,,
Outlay,,2016,june,323320.0,,"june, 2016",,,323320000000.0,,
Outlay,,2016,july,322817.0,,"july, 2016",,,322817000000.0,,
Outlay,,2016,august,338438.0,,"august, 2016",,,338438000000.0,,
Outlay,,2016,september,323178.0,,"september, 2016",,,323178000000.0,,
Outlay,,2017,october,267523.0,,"october, 2017",,,267523000000.0,,
Outlay,,2017,november,336544.0,,"november, 2017",,,336544000000.0,,
Outlay,,2017,december,346540.0,,"december, 2017",,,346540000000.0,,
Outlay,,2017,january,292812.0,,"january, 2017",,,292812000000.0,,
Outlay,,2017,february,363757.0,,"february, 2017",,,363757000000.0,,
Outlay,,2017,march,392816.0,,"march, 2017",,,392816000000.0,,
Outlay,,2017,april,273177.0,,"april, 2017",,,273177000000.0,,
Outlay,,2017,may,328841.0,,"may, 2017",,,328841000000.0,,
Outlay,,2017,june,428894.0,,"june, 2017",,,428894000000.0,,
Deficit,136558.0,2016,october,,,"october, 2016",-136558.0,,,136558000000.0,-136558000000.0
Deficit,62869.0,2016,november,,,"november, 2016",-62869.0,,,62869000000.0,-62869000000.0
Deficit,14444.0,2016,december,,,"december, 2016",-14444.0,,,14444000000.0,-14444000000.0
Deficit,-55163.0,2016,january,,,"january, 2016",55163.0,,,-55163000000.0,55163000000.0
Deficit,192610.0,2016,february,,,"february, 2016",-192610.0,,,192610000000.0,-192610000000.0
Deficit,108043.0,2016,march,,,"march, 2016",-108043.0,,,108043000000.0,-108043000000.0
Deficit,-106455.0,2016,april,,,"april, 2016",106455.0,,,-106455000000.0,106455000000.0
Deficit,52507.0,2016,may,,,"may, 2016",-52507.0,,,52507000000.0,-52507000000.0
Deficit,-6252.0,2016,june,,,"june, 2016",6252.0,,,-6252000000.0,6252000000.0
Deficit,112819.0,2016,july,,,"july, 2016",-112819.0,,,112819000000.0,-112819000000.0
Deficit,107112.0,2016,august,,,"august, 2016",-107112.0,,,107112000000.0,-107112000000.0
Deficit,-33445.0,2016,september,,,"september, 2016",33445.0,,,-33445000000.0,33445000000.0
Deficit,45831.0,2017,october,,,"october, 2017",-45831.0,,,45831000000.0,-45831000000.0
Deficit,136669.0,2017,november,,,"november, 2017",-136669.0,,,136669000000.0,-136669000000.0
Deficit,27336.0,2017,december,,,"december, 2017",-27336.0,,,27336000000.0,-27336000000.0
Deficit,-51257.0,2017,january,,,"january, 2017",51257.0,,,-51257000000.0,51257000000.0
Deficit,192044.0,2017,february,,,"february, 2017",-192044.0,,,192044000000.0,-192044000000.0
Deficit,176232.0,2017,march,,,"march, 2017",-176232.0,,,176232000000.0,-176232000000.0
Deficit,-182428.0,2017,april,,,"april, 2017",182428.0,,,-182428000000.0,182428000000.0
Deficit,88423.0,2017,may,,,"may, 2017",-88423.0,,,88423000000.0,-88423000000.0
Deficit,90233.0,2017,june,,,"june, 2017",-90233.0,,,90233000000.0,-90233000000.0
