month,fy,recpt_ytd,outlays_ytd,deficit_ytd
October,2016,211046.0,347604.0,136558.0
November,2016,416014.0,615441.0,199427.0
December,2016,765645.0,979516.0,213871.0
January,2016,1079224.0,1237932.0,158708.0
February,2016,1248371.0,1599689.0,351318.0
March,2016,1476219.0,1935580.0,459361.0
April,2016,1914651.0,2267557.0,352906.0
May,2016,2139255.0,2544668.0,405413.0
June,2016,2468827.0,2867988.0,399161.0
July,2016,2678825.0,3190805.0,511980.0
August,2016,2910152.0,3529243.0,619092.0
September,2016,3266775.0,3852421.0,585647.0
October,2017,3488467.0,4119944.0,631478.0
November,2017,3688342.0,4456488.0,768147.0
December,2017,4007546.0,4803028.0,795483.0
January,2017,4351615.0,5095840.0,744226.0
February,2017,4523328.0,5459597.0,936270.0
March,2017,4739912.0,5852413.0,1112502.0
April,2017,5195517.0,6125590.0,930074.0
May,2017,5435935.0,6454434.0,1018500.0
