amt_type,deficit_ytd_M,fy,month,outlays_fytd_M,recpt_ytd_M,date,deficit_fytd_as_neg_M,deficit_ytd,outlays_fytd,recpt_ytd,deficit_fytd_as_neg
Receipt,,2016,october,,211046.0,"october, 2016",,,,211046000000.0,
Receipt,,2016,november,,416014.0,"november, 2016",,,,416014000000.0,
Receipt,,2016,december,,765645.0,"december, 2016",,,,765645000000.0,
Receipt,,2016,january,,1079224.0,"january, 2016",,,,1079224000000.0,
Receipt,,2016,february,,1248371.0,"february, 2016",,,,1248371000000.0,
Receipt,,2016,march,,1476219.0,"march, 2016",,,,1476219000000.0,
Receipt,,2016,april,,1914651.0,"april, 2016",,,,1914651000000.0,
Receipt,,2016,may,,2139255.0,"may, 2016",,,,2139255000000.0,
Receipt,,2016,june,,2468827.0,"june, 2016",,,,2468827000000.0,
Receipt,,2016,july,,2678825.0,"july, 2016",,,,2678825000000.0,
Receipt,,2016,august,,2910152.0,"august, 2016",,,,2910152000000.0,
Receipt,,2016,september,,3266775.0,"september, 2016",,,,3266775000000.0,
Receipt,,2017,october,,221692.0,"october, 2017",,,,221692000000.0,
Receipt,,2017,november,,421567.0,"november, 2017",,,,421567000000.0,
Receipt,,2017,december,,740771.0,"december, 2017",,,,740771000000.0,
Receipt,,2017,january,,1084840.0,"january, 2017",,,,1084840000000.0,
Receipt,,2017,february,,1256553.0,"february, 2017",,,,1256553000000.0,
Receipt,,2017,march,,1473137.0,"march, 2017",,,,1473137000000.0,
Receipt,,2017,april,,1928742.0,"april, 2017",,,,1928742000000.0,
Receipt,,2017,may,,2169160.0,"may, 2017",,,,2169160000000.0,
Receipt,,2017,june,,2507820.0,"june, 2017",,,,2507820000000.0,
Receipt,,2017,july,,2739860.0,"july, 2017",,,,2739860000000.0,
Outlay,,2016,october,347604.0,,"october, 2016",,,347604000000.0,,
Outlay,,2016,november,615441.0,,"november, 2016",,,615441000000.0,,
Outlay,,2016,december,979516.0,,"december, 2016",,,979516000000.0,,
Outlay,,2016,january,1237932.0,,"january, 2016",,,1237932000000.0,,
Outlay,,2016,february,1599689.0,,"february, 2016",,,1599689000000.0,,
Outlay,,2016,march,1935580.0,,"march, 2016",,,1935580000000.0,,
Outlay,,2016,april,2267557.0,,"april, 2016",,,2267557000000.0,,
Outlay,,2016,may,2544668.0,,"may, 2016",,,2544668000000.0,,
Outlay,,2016,june,2867988.0,,"june, 2016",,,2867988000000.0,,
Outlay,,2016,july,3190805.0,,"july, 2016",,,3190805000000.0,,
Outlay,,2016,august,3529243.0,,"august, 2016",,,3529243000000.0,,
Outlay,,2016,september,3852421.0,,"september, 2016",,,3852421000000.0,,
Outlay,,2017,october,267523.0,,"october, 2017",,,267523000000.0,,
Outlay,,2017,november,604067.0,,"november, 2017",,,604067000000.0,,
Outlay,,2017,december,950607.0,,"december, 2017",,,950607000000.0,,
Outlay,,2017,january,1243419.0,,"january, 2017",,,1243419000000.0,,
Outlay,,2017,february,1607176.0,,"february, 2017",,,1607176000000.0,,
Outlay,,2017,march,1999992.0,,"march, 2017",,,1999992000000.0,,
Outlay,,2017,april,2273169.0,,"april, 2017",,,2273169000000.0,,
Outlay,,2017,may,2602010.0,,"may, 2017",,,2602010000000.0,,
Outlay,,2017,june,3030904.0,,"june, 2017",,,3030904000000.0,,
Outlay,,2017,july,3305884.0,,"july, 2017",,,3305884000000.0,,
Deficit,136558.0,2016,october,,,"october, 2016",-136558.0,136558000000.0,,,-136558000000.0
Deficit,199427.0,2016,november,,,"november, 2016",-199427.0,199427000000.0,,,-199427000000.0
Deficit,213871.0,2016,december,,,"december, 2016",-213871.0,213871000000.0,,,-213871000000.0
Deficit,158708.0,2016,january,,,"january, 2016",-158708.0,158708000000.0,,,-158708000000.0
Deficit,351318.0,2016,february,,,"february, 2016",-351318.0,351318000000.0,,,-351318000000.0
Deficit,459361.0,2016,march,,,"march, 2016",-459361.0,459361000000.0,,,-459361000000.0
Deficit,352906.0,2016,april,,,"april, 2016",-352906.0,352906000000.0,,,-352906000000.0
Deficit,405413.0,2016,may,,,"may, 2016",-405413.0,405413000000.0,,,-405413000000.0
Deficit,399161.0,2016,june,,,"june, 2016",-399161.0,399161000000.0,,,-399161000000.0
Deficit,511980.0,2016,july,,,"july, 2016",-511980.0,511980000000.0,,,-511980000000.0
Deficit,619092.0,2016,august,,,"august, 2016",-619092.0,619092000000.0,,,-619092000000.0
Deficit,585647.0,2016,september,,,"september, 2016",-585647.0,585647000000.0,,,-585647000000.0
Deficit,45831.0,2017,october,,,"october, 2017",-45831.0,45831000000.0,,,-45831000000.0
Deficit,182500.0,2017,november,,,"november, 2017",-182500.0,182500000000.0,,,-182500000000.0
Deficit,209836.0,2017,december,,,"december, 2017",-209836.0,209836000000.0,,,-209836000000.0
Deficit,158579.0,2017,january,,,"january, 2017",-158579.0,158579000000.0,,,-158579000000.0
Deficit,350623.0,2017,february,,,"february, 2017",-350623.0,350623000000.0,,,-350623000000.0
Deficit,526855.0,2017,march,,,"march, 2017",-526855.0,526855000000.0,,,-526855000000.0
Deficit,344427.0,2017,april,,,"april, 2017",-344427.0,344427000000.0,,,-344427000000.0
Deficit,432850.0,2017,may,,,"may, 2017",-432850.0,432850000000.0,,,-432850000000.0
Deficit,523083.0,2017,june,,,"june, 2017",-523083.0,523083000000.0,,,-523083000000.0
Deficit,566022.0,2017,july,,,"july, 2017",-566022.0,566022000000.0,,,-566022000000.0
