source_func,amt_M,fytd_M,comp_per_pfy_M,fy,month,rec,outlay,source_func_parent,amount_type,amt,fytd,comp_per_pfy
Individual Income Taxes,113453.0,1312691.0,1271490.0,2017,07,True,False,Individual Income Taxes,Receipt,113453000000.0,1312691000000.0,1271490000000.0
Corporation Income Taxes,9033.0,232294.0,231942.0,2017,07,True,False,Corporation Income Taxes,Receipt,9033000000.0,232294000000.0,231942000000.0
Employment and General Retirement,84129.0,931575.0,887729.0,2017,07,True,False,Social Insurance and Retirement Receipts,Receipt,84129000000.0,931575000000.0,887729000000.0
Unemployment Insurance,3925.0,41207.0,41636.0,2017,07,True,False,Social Insurance and Retirement Receipts,Receipt,3925000000.0,41207000000.0,41636000000.0
Other Retirement,356.0,3497.0,3229.0,2017,07,True,False,Social Insurance and Retirement Receipts,Receipt,356000000.0,3497000000.0,3229000000.0
Excise Taxes,7800.0,65187.0,65031.0,2017,07,True,False,Excise Taxes,Receipt,7800000000.0,65187000000.0,65031000000.0
Estate and Gift Taxes,1445.0,19407.0,18113.0,2017,07,True,False,Estate and Gift Taxes,Receipt,1445000000.0,19407000000.0,18113000000.0
Customs Duties,3188.0,28427.0,28739.0,2017,07,True,False,Customs Duties,Receipt,3188000000.0,28427000000.0,28739000000.0
Miscellaneous Receipts,8710.0,105576.0,130915.0,2017,07,True,False,Miscellaneous Receipts,Receipt,8710000000.0,105576000000.0,130915000000.0
Total,232040.0,2739861.0,2678824.0,2017,07,True,False,Total Receipts,Total Receipts,232040000000.0,2739861000000.0,2678824000000.0
National Defense,43109.0,491114.0,486345.0,2017,07,False,True,National Defense,Outlay,43109000000.0,491114000000.0,486345000000.0
International Affairs,2536.0,36877.0,34675.0,2017,07,False,True,International Affairs,Outlay,2536000000.0,36877000000.0,34675000000.0
"General Science, Space, and Technology",2362.0,24921.0,24645.0,2017,07,False,True,"General Science, Space, and Technology",Outlay,2362000000.0,24921000000.0,24645000000.0
Energy,59.0,3358.0,2929.0,2017,07,False,True,Energy,Outlay,59000000.0,3358000000.0,2929000000.0
Natural Resources and Environment,2952.0,28984.0,30448.0,2017,07,False,True,Natural Resources and Environment,Outlay,2952000000.0,28984000000.0,30448000000.0
Agriculture,266.0,22502.0,21923.0,2017,07,False,True,Agriculture,Outlay,266000000.0,22502000000.0,21923000000.0
Commerce and Housing Credit,1031.0,-6595.0,-26092.0,2017,07,False,True,Commerce and Housing Credit,Outlay,1031000000.0,-6595000000.0,-26092000000.0
Transportation,7931.0,74406.0,71939.0,2017,07,False,True,Transportation,Outlay,7931000000.0,74406000000.0,71939000000.0
Community and Regional Development,1605.0,18937.0,16436.0,2017,07,False,True,Community and Regional Development,Outlay,1605000000.0,18937000000.0,16436000000.0
"Education, Training, Employment, and Social Services",6245.0,120364.0,89778.0,2017,07,False,True,"Education, Training, Employment, and Social Services",Outlay,6245000000.0,120364000000.0,89778000000.0
Health,43923.0,436343.0,419366.0,2017,07,False,True,Health,Outlay,43923000000.0,436343000000.0,419366000000.0
Medicare,22806.0,463725.0,470687.0,2017,07,False,True,Medicare,Outlay,22806000000.0,463725000000.0,470687000000.0
Income Security,27402.0,427146.0,435592.0,2017,07,False,True,Income Security,Outlay,27402000000.0,427146000000.0,435592000000.0
Social Security,79199.0,786147.0,762631.0,2017,07,False,True,Social Security,Outlay,79199000000.0,786147000000.0,762631000000.0
Veterans Benefits and Services,7268.0,138626.0,138935.0,2017,07,False,True,Veterans Benefits and Services,Outlay,7268000000.0,138626000000.0,138935000000.0
Administration of Justice,5689.0,49278.0,46501.0,2017,07,False,True,Administration of Justice,Outlay,5689000000.0,49278000000.0,46501000000.0
General Government,1238.0,16196.0,15034.0,2017,07,False,True,General Government,Outlay,1238000000.0,16196000000.0,15034000000.0
Net Interest,25723.0,249302.0,231418.0,2017,07,False,True,Net Interest,Outlay,25723000000.0,249302000000.0,231418000000.0
Undistributed Offsetting Receipts,-6364.0,-75749.0,-82387.0,2017,07,False,True,Undistributed Offsetting Receipts,Outlay,-6364000000.0,-75749000000.0,-82387000000.0
Total,274980.0,3305882.0,3190804.0,2017,07,False,True,Total Outlays,Total Outlays,274980000000.0,3305882000000.0,3190804000000.0
deficit for the month,42940.0,0.0,0.0,2017,07,False,False,Deficit,Total Receipts,42940000000.0,0.0,0.0
deficit fytd,0.0,566021.0,0.0,2017,07,False,False,Deficit,Total Receipts,0.0,566021000000.0,0.0
