amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
85973.0,641434.0,584914.0,2015,03,True,False,Individual Income Taxes
30481.0,132114.0,117555.0,2015,03,True,False,Corporation Income Taxes
96797.0,489887.0,470537.0,2015,03,True,False,Social Insurance and Retirement Receipts
454.0,16975.0,18066.0,2015,03,True,False,Social Insurance and Retirement Receipts
328.0,1804.0,1732.0,2015,03,True,False,Social Insurance and Retirement Receipts
6559.0,39412.0,38361.0,2015,03,True,False,Excise Taxes
1642.0,8911.0,8748.0,2015,03,True,False,Estate andGift Taxes
2627.0,17416.0,16806.0,2015,03,True,False,CustomsDuties
9327.0,71847.0,65895.0,2015,03,True,False,Miscellaneous Receipts
234187.0,1419800.0,1322613.0,2015,03,True,False,Total
49221.0,298675.0,307781.0,2015,03,False,True,National Defense
4772.0,28453.0,22771.0,2015,03,False,True,International Affairs
2419.0,14190.0,13838.0,2015,03,False,True,"General Science, Space, and Technology"
732.0,3515.0,1626.0,2015,03,False,True,Energy
3257.0,16172.0,16997.0,2015,03,False,True,Natural Resources and Environment
1242.0,19022.0,21913.0,2015,03,False,True,Agriculture
-6961.0,-18651.0,-71158.0,2015,03,False,True,Commerce and Housing Credit
6944.0,40852.0,42548.0,2015,03,False,True,Transportation
2035.0,11535.0,10735.0,2015,03,False,True,Community and Regional Development
9963.0,51704.0,41809.0,2015,03,False,True,"Education, Training, Employment, and Social Services"
42536.0,232556.0,191028.0,2015,03,False,True,Health
25577.0,268535.0,245389.0,2015,03,False,True,Medicare
47119.0,287027.0,294074.0,2015,03,False,True,Income Security
73881.0,436477.0,417969.0,2015,03,False,True,Social Security
7709.0,78719.0,74847.0,2015,03,False,True,Veterans Benefits and Services
5720.0,26702.0,25733.0,2015,03,False,True,Administration of Justice
1624.0,5970.0,9754.0,2015,03,False,True,General Government
15733.0,106829.0,117725.0,2015,03,False,True,Net Interest
-6425.0,-49010.0,-49501.0,2015,03,False,True,Undistributed Offsetting Receipts
287097.0,1859273.0,1735879.0,2015,03,False,True,Total
,,,2015,03,False,True,Note: Details may not add to totals due to rounding.
52910.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,439473.0,0.0,20hl,nt,False,False,Deficit
148727.0,351562.0,337648.0,2015,12,True,False,Individual Income Taxes
76971.0,84899.0,97042.0,2015,12,True,False,Corporation Income Taxes
77872.0,232696.0,220885.0,2015,12,True,False,Social Insurance and Retirement Receipts
343.0,7329.0,7171.0,2015,12,True,False,Social Insurance and Retirement Receipts
370.0,977.0,858.0,2015,12,True,False,Social Insurance and Retirement Receipts
6723.0,19869.0,19752.0,2015,12,True,False,Excise Taxes
2188.0,6033.0,4916.0,2015,12,True,False,Estate andGift Taxes
2891.0,9213.0,9240.0,2015,12,True,False,CustomsDuties
33546.0,53067.0,41970.0,2015,12,True,False,Miscellaneous Receipts
349631.0,765645.0,739482.0,2015,12,True,False,Total
56590.0,160447.0,160761.0,2015,12,False,True,National Defense
4004.0,11314.0,13744.0,2015,12,False,True,International Affairs
3136.0,7888.0,7628.0,2015,12,False,True,"General Science, Space, and Technology"
847.0,1394.0,2740.0,2015,12,False,True,Energy
3436.0,9068.0,8828.0,2015,12,False,True,Natural Resources and Environment
3572.0,17257.0,13278.0,2015,12,False,True,Agriculture
-4377.0,-2738.0,-11061.0,2015,12,False,True,Commerce and Housing Credit
8395.0,22489.0,22297.0,2015,12,False,True,Transportation
1831.0,5040.0,6307.0,2015,12,False,True,Community and Regional Development
7518.0,20769.0,22033.0,2015,12,False,True,"Education, Training, Employment, and Social Services"
43952.0,123844.0,114789.0,2015,12,False,True,Health
44002.0,142768.0,136438.0,2015,12,False,True,Medicare
47153.0,112629.0,114347.0,2015,12,False,True,Income Security
101629.0,251086.0,215794.0,2015,12,False,True,Social Security
21101.0,48636.0,43724.0,2015,12,False,True,Veterans Benefits and Services
4791.0,13590.0,13020.0,2015,12,False,True,Administration of Justice
1288.0,4202.0,1781.0,2015,12,False,True,General Government
21431.0,62805.0,60678.0,2015,12,False,True,Net Interest
-6225.0,-31298.0,-30976.0,2015,12,False,True,Undistributed Offsetting Receipts
364075.0,981190.0,916148.0,2015,12,False,True,Total
14444.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,215545.0,0.0,20hl,nt,False,False,Deficit
93615.0,202835.0,192619.0,2015,11,True,False,Individual Income Taxes
3673.0,7928.0,12810.0,2015,11,True,False,Corporation Income Taxes
80442.0,154824.0,146263.0,2015,11,True,False,Social Insurance and Retirement Receipts
4830.0,6985.0,6401.0,2015,11,True,False,Social Insurance and Retirement Receipts
297.0,607.0,572.0,2015,11,True,False,Social Insurance and Retirement Receipts
7568.0,13146.0,13185.0,2015,11,True,False,Excise Taxes
1713.0,3845.0,2926.0,2015,11,True,False,Estate andGift Taxes
2887.0,6322.0,6449.0,2015,11,True,False,CustomsDuties
9944.0,19521.0,22930.0,2015,11,True,False,Miscellaneous Receipts
204968.0,416014.0,404155.0,2015,11,True,False,Total
43414.0,103857.0,101146.0,2015,11,False,True,National Defense
4981.0,7310.0,8892.0,2015,11,False,True,International Affairs
2425.0,4752.0,4432.0,2015,11,False,True,"General Science, Space, and Technology"
327.0,547.0,1072.0,2015,11,False,True,Energy
3367.0,5632.0,5377.0,2015,11,False,True,Natural Resources and Environment
6402.0,13685.0,10118.0,2015,11,False,True,Agriculture
760.0,1639.0,-310.0,2015,11,False,True,Commerce and Housing Credit
8337.0,14094.0,15057.0,2015,11,False,True,Transportation
1650.0,3209.0,3583.0,2015,11,False,True,Community and Regional Development
7355.0,13251.0,14591.0,2015,11,False,True,"Education, Training, Employment, and Social Services"
37471.0,79891.0,71965.0,2015,11,False,True,Health
23355.0,98765.0,90856.0,2015,11,False,True,Medicare
27813.0,65477.0,67093.0,2015,11,False,True,IncomeSecurity
74699.0,149457.0,143342.0,2015,11,False,True,SocialSecurity
6903.0,27536.0,24814.0,2015,11,False,True,Veterans Benefits and Services
4310.0,8799.0,8380.0,2015,11,False,True,Administration of Justice
461.0,2915.0,-5568.0,2015,11,False,True,General Government
21369.0,41374.0,42500.0,2015,11,False,True,Net Interest
-5877.0,-25073.0,-24654.0,2015,11,False,True,Undistributed Offsetting Receipts
269521.0,617116.0,582686.0,2015,11,False,True,Total
64553.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,201102.0,0.0,20hl,nt,False,False,Deficit
109220.0,109220.0,106661.0,2015,10,True,False,Individual Income Taxes
4256.0,4256.0,10228.0,2015,10,True,False,Corporation Income Taxes
74382.0,74382.0,70394.0,2015,10,True,False,Social Insurance and Retirement Receipts
2156.0,2156.0,3187.0,2015,10,True,False,Social Insurance and Retirement Receipts
311.0,311.0,293.0,2015,10,True,False,Social Insurance and Retirement Receipts
5577.0,5577.0,5915.0,2015,10,True,False,Excise Taxes
2132.0,2132.0,1418.0,2015,10,True,False,Estate and Gift Taxes
3435.0,3435.0,3485.0,2015,10,True,False,CustomsDuties
9577.0,9577.0,11136.0,2015,10,True,False,Miscellaneous Receipts
211046.0,211046.0,212719.0,2015,10,True,False,Total
60443.0,60443.0,63334.0,2015,10,False,True,National Defense
2329.0,2329.0,4385.0,2015,10,False,True,International Affairs
2327.0,2327.0,2302.0,2015,10,False,True,"General Science, Space, and Technology"
221.0,221.0,542.0,2015,10,False,True,Energy
2265.0,2265.0,2490.0,2015,10,False,True,Natural Resourcesand Environment
7284.0,7284.0,6143.0,2015,10,False,True,Agriculture
879.0,879.0,-466.0,2015,10,False,True,Commerce and Housing Credit
5756.0,5756.0,8294.0,2015,10,False,True,Transportation
1559.0,1559.0,1848.0,2015,10,False,True,Community and Regional Development
5895.0,5895.0,7829.0,2015,10,False,True,"Education, Training, Employment, and Social Services"
42421.0,42421.0,38267.0,2015,10,False,True,Health
75411.0,75411.0,68694.0,2015,10,False,True,Medicare
37664.0,37664.0,41267.0,2015,10,False,True,IncomeSecurity
74758.0,74758.0,71661.0,2015,10,False,True,SocialSecurity
20632.0,20632.0,18821.0,2015,10,False,True,Veterans Benefits and Services
4489.0,4489.0,4388.0,2015,10,False,True,Administration of Justice
2437.0,2437.0,-7102.0,2015,10,False,True,General Government
20005.0,20005.0,21130.0,2015,10,False,True,Net Interest
-19197.0,-19197.0,-19393.0,2015,10,False,True,Undistributed Offsetting Receipts
347578.0,347578.0,334432.0,2015,10,False,True,Total
136532.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,136532.0,0.0,20hl,nt,False,False,Deficit
161547.0,1540802.0,1394567.0,2015,09,True,False,Individual Income Taxes
75411.0,343797.0,320731.0,2015,09,True,False,Corporation Income Taxes
87264.0,1010449.0,965029.0,2015,09,True,False,Social Insurance and Retirement Receipts
208.0,51177.0,54957.0,2015,09,True,False,Social Insurance and Retirement Receipts
304.0,3651.0,3472.0,2015,09,True,False,Social Insurance and Retirement Receipts
23547.0,98279.0,93368.0,2015,09,True,False,Excise Taxes
1544.0,19232.0,19300.0,2015,09,True,False,Estate and Gift Taxes
3198.0,35041.0,33926.0,2015,09,True,False,Customs Duties
12450.0,146294.0,135021.0,2015,09,True,False,Miscellaneous Receipts
365473.0,3248723.0,3020371.0,2015,09,True,False,Total
55078.0,591372.0,605035.0,2015,09,False,True,National Defense
6078.0,48598.0,46693.0,2015,09,False,True,International Affairs
2852.0,29468.0,28624.0,2015,09,False,True,"General Science, Space, and Technology"
1019.0,6910.0,5277.0,2015,09,False,True,Energy
3681.0,33988.0,35102.0,2015,09,False,True,Natural Resources and Environment
-1233.0,20229.0,26118.0,2015,09,False,True,Agriculture
-15905.0,-38335.0,-95319.0,2015,09,False,True,Commerce and Housing Credit
10852.0,90041.0,91497.0,2015,09,False,True,Transportation
1987.0,21649.0,21557.0,2015,09,False,True,Community and Regional Development
11697.0,120376.0,89353.0,2015,09,False,True,"Education, Training, Employment, and Social Services"
37973.0,482153.0,409402.0,2015,09,False,True,Health
45089.0,546203.0,511691.0,2015,09,False,True,Medicare
36116.0,509429.0,513929.0,2015,09,False,True,Income Security
74591.0,887771.0,850535.0,2015,09,False,True,Social Security
