MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,86017250000.0,Dummy,Dummy_Function,Spacer,86017250000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,2095000000.0,Outlay,Other,Real,88112250000.0,1.0,-6.0,2095000000.0,2095000000.0,0.0,88112250000.0,86017250000.0,0.002472623156634775,87899561755.77995,85804561755.77995
Max,98,20299227272.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,22394227272.0,22394227272.0,2095000000.0,88112250000.0,88112250000.0,0.002472623156634775,87949754095.1945,87899561755.77995
Max,98,4748000000.0,Outlay,International Affairs,Real,92860250000.0,3.0,-6.0,27142227272.0,27142227272.0,22394227272.0,92860250000.0,88112250000.0,0.002472623156634775,92697754095.1945,87949754095.1945
Max,98,20299227272.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,47441454544.0,47441454544.0,27142227272.0,92860250000.0,92860250000.0,0.002472623156634775,92747946434.60904,92697754095.1945
Max,98,5840000000.0,Outlay,Administration of Justice,Real,98700250000.0,5.0,-6.0,53281454544.0,53281454544.0,47441454544.0,98700250000.0,92860250000.0,0.002472623156634775,98587946434.60904,92747946434.60904
Max,98,20299227272.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,73580681816.0,73580681816.0,53281454544.0,98700250000.0,98700250000.0,0.002472623156634775,98638138774.02357,98587946434.60904
Max,98,6168000000.0,Outlay,Transportation,Real,104868250000.0,7.0,-6.0,79748681816.0,79748681816.0,73580681816.0,104868250000.0,98700250000.0,0.002472623156634775,104806138774.02357,98638138774.02357
Max,98,20299227272.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,100047909088.0,100047909088.0,79748681816.0,104868250000.0,104868250000.0,0.002472623156634775,104856331113.43811,104806138774.02357
Max,98,7410000000.0,Outlay,Veterans Benefits and Services,Real,112278250000.0,9.0,-6.0,107457909088.0,107457909088.0,100047909088.0,112278250000.0,104868250000.0,0.002472623156634775,112266331113.43811,104856331113.43811
Max,98,20299227272.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,127757136360.0,127757136360.0,107457909088.0,112278250000.0,112278250000.0,0.002472623156634775,112316523452.85266,112266331113.43811
Max,98,10617000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,122895250000.0,11.0,-6.0,138374136360.0,138374136360.0,127757136360.0,122895250000.0,112278250000.0,0.002472623156634775,122933523452.85266,112316523452.85266
Max,98,20299227272.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,158673363632.0,158673363632.0,138374136360.0,122895250000.0,122895250000.0,0.002472623156634775,122983715792.2672,122933523452.85266
Max,98,21692000000.0,Outlay,Net Interest,Real,144587250000.0,13.0,-6.0,180365363632.0,180365363632.0,158673363632.0,144587250000.0,122895250000.0,0.002472623156634775,144675715792.26718,122983715792.2672
Max,98,20299227272.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,200664590904.0,200664590904.0,180365363632.0,144587250000.0,144587250000.0,0.002472623156634775,144725908131.68173,144675715792.26718
Max,98,27056000000.0,Outlay,Income Security,Real,171643250000.0,15.0,-6.0,227720590904.0,227720590904.0,200664590904.0,171643250000.0,144587250000.0,0.002472623156634775,171781908131.68173,144725908131.68173
Max,98,20299227272.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,248019818176.0,248019818176.0,227720590904.0,171643250000.0,171643250000.0,0.002472623156634775,171832100471.09628,171781908131.68173
Max,98,40315000000.0,Outlay,National Defense,Real,211958250000.0,17.0,-6.0,288334818176.0,288334818176.0,248019818176.0,211958250000.0,171643250000.0,0.002472623156634775,212147100471.09628,171832100471.09628
Max,98,20299227272.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,308634045448.0,308634045448.0,288334818176.0,211958250000.0,211958250000.0,0.002472623156634775,212197292810.5108,212147100471.09628
Max,98,42903000000.0,Outlay,Health,Real,254861250000.0,19.0,-6.0,351537045448.0,351537045448.0,308634045448.0,254861250000.0,211958250000.0,0.002472623156634775,255100292810.5108,212197292810.5108
Max,98,20299227272.0,Outlay,Spacer 20,Spacer,,20.0,-6.0,371836272720.0,371836272720.0,351537045448.0,254861250000.0,254861250000.0,0.002472623156634775,255150485149.92535,255100292810.5108
Max,98,45687000000.0,Outlay,Medicare,Real,300548250000.0,21.0,-6.0,417523272720.0,417523272720.0,371836272720.0,300548250000.0,254861250000.0,0.002472623156634775,300837485149.92535,255150485149.92535
Max,98,20299227272.0,Outlay,Spacer 22,Spacer,,22.0,-6.0,437822499992.0,437822499992.0,417523272720.0,300548250000.0,300548250000.0,0.002472623156634775,300887677489.3399,300837485149.92535
Max,98,78281000000.0,Outlay,Social Security,Real,378829250000.0,23.0,-6.0,516103499992.0,516103499992.0,437822499992.0,378829250000.0,300548250000.0,0.002472623156634775,379168677489.3399,300887677489.3399
Max,98,51257000000.0,Surplus,Surplus,Real,430086250000.0,24.0,-6.0,567360499992.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,86017250000.0,Dummy,Dummy_Function,Spacer,86017250000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,2095000000.0,Outlay,Other,Real,88112250000.0,1.0,-6.0,2095000000.0,2095000000.0,0.0,88112250000.0,86017250000.0,0.002472623156634775,87899561755.77995,85804561755.77995
Min,1,20299227272.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,22394227272.0,22394227272.0,2095000000.0,88112250000.0,88112250000.0,0.002472623156634775,87949754095.1945,87899561755.77995
