Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,86017250000.0,Dummy,Spacer,-6.0,98,Max,0.0,86017250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Estate andGift Taxes,2427000000.0,Receipt,Real,-6.0,98,Max,2.0,88444250000.0,2427000000.0,2427000000.0,0.0,88444250000.0,86017250000.0,0.002472623156634775,2639688244.2200427,212688244.22004262
Spacer 3,28672416666.0,Receipt,Spacer,-6.0,98,Max,3.0,,31099416666.0,31099416666.0,2427000000.0,88444250000.0,88444250000.0,0.002472623156634775,31241208828.81501,2639688244.2200427
CustomsDuties,2967000000.0,Receipt,Real,-6.0,98,Max,4.0,91411250000.0,34066416666.0,34066416666.0,31099416666.0,91411250000.0,88444250000.0,0.002472623156634775,34208208828.81501,31241208828.81501
Spacer 5,28672416666.0,Receipt,Spacer,-6.0,98,Max,5.0,,62738833332.0,62738833332.0,34066416666.0,91411250000.0,91411250000.0,0.002472623156634775,62809729413.40998,34208208828.81501
Excise Taxes,5116000000.0,Receipt,Real,-6.0,98,Max,6.0,96527250000.0,67854833332.0,67854833332.0,62738833332.0,96527250000.0,91411250000.0,0.002472623156634775,67925729413.40998,62809729413.40998
Spacer 7,28672416666.0,Receipt,Spacer,-6.0,98,Max,7.0,,96527249998.0,96527249998.0,67854833332.0,96527250000.0,96527250000.0,0.002472623156634775,96527249998.00494,67925729413.40998
Corporation Income Taxes,9146000000.0,Receipt,Real,-6.0,98,Max,8.0,105673250000.0,105673249998.0,105673249998.0,96527249998.0,105673250000.0,96527250000.0,0.002472623156634775,105673249998.00494,96527249998.00494
Spacer 9,28672416666.0,Receipt,Spacer,-6.0,98,Max,9.0,,134345666664.0,134345666664.0,105673249998.0,105673250000.0,105673250000.0,0.002472623156634775,134274770582.59991,105673249998.00494
Miscellaneous Receipts,17428000000.0,Receipt,Real,-6.0,98,Max,10.0,123101250000.0,151773666664.0,151773666664.0,134345666664.0,123101250000.0,105673250000.0,0.002472623156634775,151702770582.5999,134274770582.59991
Spacer 11,28672416666.0,Receipt,Spacer,-6.0,98,Max,11.0,,180446083330.0,180446083330.0,151773666664.0,123101250000.0,123101250000.0,0.002472623156634775,180304291167.1949,151702770582.5999
Social Insurance and Retirement Receipts,109754000000.0,Receipt,Real,-6.0,98,Max,12.0,232855250000.0,290200083330.0,290200083330.0,180446083330.0,232855250000.0,123101250000.0,0.002472623156634775,290058291167.1949,180304291167.1949
Spacer 13,28672416666.0,Receipt,Spacer,-6.0,98,Max,13.0,,318872499996.0,318872499996.0,290200083330.0,232855250000.0,232855250000.0,0.002472623156634775,318659811751.78986,290058291167.1949
Individual Income Taxes,197231000000.0,Receipt,Real,-6.0,98,Max,14.0,430086250000.0,516103499996.0,516103499996.0,318872499996.0,430086250000.0,232855250000.0,0.002472623156634775,515890811751.78986,318659811751.78986
Dummy_Source,86017250000.0,Dummy,Spacer,-6.0,1,Min,0.0,86017250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Estate andGift Taxes,2427000000.0,Receipt,Real,-6.0,1,Min,2.0,88444250000.0,2427000000.0,2427000000.0,0.0,88444250000.0,86017250000.0,0.002472623156634775,2639688244.2200427,212688244.22004262
Spacer 3,28672416666.0,Receipt,Spacer,-6.0,1,Min,3.0,,31099416666.0,31099416666.0,2427000000.0,88444250000.0,88444250000.0,0.002472623156634775,31241208828.81501,2639688244.2200427
CustomsDuties,2967000000.0,Receipt,Real,-6.0,1,Min,4.0,91411250000.0,34066416666.0,34066416666.0,31099416666.0,91411250000.0,88444250000.0,0.002472623156634775,34208208828.81501,31241208828.81501
Spacer 5,28672416666.0,Receipt,Spacer,-6.0,1,Min,5.0,,62738833332.0,62738833332.0,34066416666.0,91411250000.0,91411250000.0,0.002472623156634775,62809729413.40998,34208208828.81501
Excise Taxes,5116000000.0,Receipt,Real,-6.0,1,Min,6.0,96527250000.0,67854833332.0,67854833332.0,62738833332.0,96527250000.0,91411250000.0,0.002472623156634775,67925729413.40998,62809729413.40998
Spacer 7,28672416666.0,Receipt,Spacer,-6.0,1,Min,7.0,,96527249998.0,96527249998.0,67854833332.0,96527250000.0,96527250000.0,0.002472623156634775,96527249998.00494,67925729413.40998
Corporation Income Taxes,9146000000.0,Receipt,Real,-6.0,1,Min,8.0,105673250000.0,105673249998.0,105673249998.0,96527249998.0,105673250000.0,96527250000.0,0.002472623156634775,105673249998.00494,96527249998.00494
Spacer 9,28672416666.0,Receipt,Spacer,-6.0,1,Min,9.0,,134345666664.0,134345666664.0,105673249998.0,105673250000.0,105673250000.0,0.002472623156634775,134274770582.59991,105673249998.00494
Miscellaneous Receipts,17428000000.0,Receipt,Real,-6.0,1,Min,10.0,123101250000.0,151773666664.0,151773666664.0,134345666664.0,123101250000.0,105673250000.0,0.002472623156634775,151702770582.5999,134274770582.59991
Spacer 11,28672416666.0,Receipt,Spacer,-6.0,1,Min,11.0,,180446083330.0,180446083330.0,151773666664.0,123101250000.0,123101250000.0,0.002472623156634775,180304291167.1949,151702770582.5999
Social Insurance and Retirement Receipts,109754000000.0,Receipt,Real,-6.0,1,Min,12.0,232855250000.0,290200083330.0,290200083330.0,180446083330.0,232855250000.0,123101250000.0,0.002472623156634775,290058291167.1949,180304291167.1949
Spacer 13,28672416666.0,Receipt,Spacer,-6.0,1,Min,13.0,,318872499996.0,318872499996.0,290200083330.0,232855250000.0,232855250000.0,0.002472623156634775,318659811751.78986,290058291167.1949
Individual Income Taxes,197231000000.0,Receipt,Real,-6.0,1,Min,14.0,430086250000.0,516103499996.0,516103499996.0,318872499996.0,430086250000.0,232855250000.0,0.002472623156634775,515890811751.78986,318659811751.78986
Dummy_Source,86017250000.0,Dummy,Spacer,-5.75,97,Max,0.0,86017250000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Estate andGift Taxes,2427000000.0,Receipt,Real,-5.75,97,Max,2.0,88444250000.0,2427000000.0,2427000000.0,0.0,88444250000.0,86017250000.0,0.0031726828424851906,2699905453.2327595,272905453.23275924
