MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,100000000000.0,Dummy,Dummy_Function,Spacer,100000000000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,4177000000.0,Outlay,Other,Real,104177000000.0,1.0,-6.0,4177000000.0,4177000000.0,0.0,104177000000.0,100000000000.0,0.002472623156634775,103929737684.33652,99752737684.33652
Max,98,40000000000.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,44177000000.0,44177000000.0,4177000000.0,104177000000.0,104177000000.0,0.002472623156634775,104028642610.60191,103929737684.33652
Max,98,4239000000.0,Outlay,Administration of Justice,Real,108416000000.0,3.0,-6.0,48416000000.0,48416000000.0,44177000000.0,108416000000.0,104177000000.0,0.002472623156634775,108267642610.60191,104028642610.60191
Max,98,40000000000.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,88416000000.0,88416000000.0,48416000000.0,108416000000.0,108416000000.0,0.002472623156634775,108366547536.86731,108267642610.60191
Max,98,5986000000.0,Outlay,Transportation,Real,114402000000.0,5.0,-6.0,94402000000.0,94402000000.0,88416000000.0,114402000000.0,108416000000.0,0.002472623156634775,114352547536.86731,108366547536.86731
Max,98,40000000000.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,134402000000.0,134402000000.0,94402000000.0,114402000000.0,114402000000.0,0.002472623156634775,114451452463.13269,114352547536.86731
Max,98,7035000000.0,Outlay,Veterans Benefits and Services,Real,121437000000.0,7.0,-6.0,141437000000.0,141437000000.0,134402000000.0,121437000000.0,114402000000.0,0.002472623156634775,121486452463.13269,114451452463.13269
Max,98,25000000000.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,166437000000.0,166437000000.0,141437000000.0,121437000000.0,121437000000.0,0.002472623156634775,121548268042.04857,121486452463.13269
Max,98,7356000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,128793000000.0,9.0,-6.0,173793000000.0,173793000000.0,166437000000.0,128793000000.0,121437000000.0,0.002472623156634775,128904268042.04857,121548268042.04857
Max,98,25000000000.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,198793000000.0,198793000000.0,173793000000.0,128793000000.0,128793000000.0,0.002472623156634775,128966083620.96443,128904268042.04857
Max,98,22368000000.0,Outlay,Medicare,Real,151161000000.0,11.0,-6.0,221161000000.0,221161000000.0,198793000000.0,151161000000.0,128793000000.0,0.002472623156634775,151334083620.96445,128966083620.96443
Max,98,25000000000.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,246161000000.0,246161000000.0,221161000000.0,151161000000.0,151161000000.0,0.002472623156634775,151395899199.8803,151334083620.96445
