Link,t,Path,MinMax
link,-6,1,Min
link,-5.75,2,Min
link,-5.5,3,Min
link,-5.25,4,Min
link,-5,5,Min
link,-4.75,6,Min
link,-4.5,7,Min
link,-4.25,8,Min
link,-4,9,Min
link,-3.75,10,Min
link,-3.5,11,Min
link,-3.25,12,Min
link,-3,13,Min
link,-2.75,14,Min
link,-2.5,15,Min
link,-2.25,16,Min
link,-2,17,Min
link,-1.75,18,Min
link,-1.5,19,Min
link,-1.25,20,Min
link,-1,21,Min
link,-0.75,22,Min
link,-0.5,23,Min
link,-0.25,24,Min
link,0,25,Min
link,0.25,26,Min
link,0.5,27,Min
link,0.75,28,Min
link,1,29,Min
link,1.25,30,Min
link,1.5,31,Min
link,1.75,32,Min
link,2,33,Min
link,2.25,34,Min
link,2.5,35,Min
link,2.75,36,Min
link,3,37,Min
link,3.25,38,Min
link,3.5,39,Min
link,3.75,40,Min
link,4,41,Min
link,4.25,42,Min
link,4.5,43,Min
link,4.75,44,Min
link,5,45,Min
link,5.25,46,Min
link,5.5,47,Min
link,5.75,48,Min
link,6,49,Min
link,-6,98,Max
link,-5.75,97,Max
link,-5.5,96,Max
link,-5.25,95,Max
link,-5,94,Max
link,-4.75,93,Max
link,-4.5,92,Max
link,-4.25,91,Max
link,-4,90,Max
link,-3.75,89,Max
link,-3.5,88,Max
link,-3.25,87,Max
link,-3,86,Max
link,-2.75,85,Max
link,-2.5,84,Max
link,-2.25,83,Max
link,-2,82,Max
link,-1.75,81,Max
link,-1.5,80,Max
link,-1.25,79,Max
link,-1,78,Max
link,-0.75,77,Max
link,-0.5,76,Max
link,-0.25,75,Max
link,0,74,Max
link,0.25,73,Max
link,0.5,72,Max
link,0.75,71,Max
link,1,70,Max
link,1.25,69,Max
link,1.5,68,Max
link,1.75,67,Max
link,2,66,Max
link,2.25,65,Max
link,2.5,64,Max
link,2.75,63,Max
link,3,62,Max
link,3.25,61,Max
link,3.5,60,Max
link,3.75,59,Max
link,4,58,Max
link,4.25,57,Max
link,4.5,56,Max
link,4.75,55,Max
link,5,54,Max
link,5.25,53,Max
link,5.5,52,Max
link,5.75,51,Max
link,6,50,Max
